id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,neg|lfc,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna,pos|lfc
TKTL1,4,0.11885,0.22225,1.0,4149,1,-0.10536,0.93148,0.93126,1.0,17404,0,-0.10536
CXCR1,4,0.11899,0.22243,1.0,4150,1,0.17702,0.20654,0.32788,1.0,5745,2,0.17702
PPY,4,0.11904,0.22249,1.0,4151,1,-0.019289,0.3868,0.51293,1.0,9221,1,-0.019289
C1QTNF7,4,0.11904,0.22249,1.0,4152,2,-0.20275,0.33981,0.47778,1.0,8540,1,-0.20275
ING3,4,0.11909,0.22254,1.0,4153,2,-0.28332,0.9833,0.98332,1.0,18598,0,-0.28332
ZNF366,4,0.11909,0.22255,1.0,4154,2,-0.030948,0.31114,0.44542,1.0,7936,2,-0.030948
DBI,4,0.11916,0.22263,1.0,4155,2,-0.06902,0.72272,0.72518,1.0,13263,1,-0.06902
ARL14,4,0.11918,0.22265,1.0,4156,1,-0.034007,0.87391,0.87348,1.0,16232,0,-0.034007
FAM173B,4,0.11922,0.22269,1.0,4157,2,-0.17199,0.48234,0.56181,1.0,10130,1,-0.17199
FHL5,4,0.11923,0.22271,1.0,4158,2,-0.12991,0.43475,0.53678,1.0,9647,1,-0.12991
EVX2,4,0.11927,0.22276,1.0,4159,2,-0.085212,0.55027,0.60061,1.0,10850,1,-0.085212
OR4F3,4,0.11934,0.22283,1.0,4160,2,-0.20494,0.80359,0.80317,1.0,14767,0,-0.20494
TAF1L,4,0.11942,0.22292,1.0,4161,1,-0.029493,0.91954,0.91937,1.0,17162,0,-0.029493
PLA2G2F,4,0.11947,0.22297,1.0,4162,2,-0.23705,0.98086,0.98089,1.0,18554,0,-0.23705
CTDSPL2,4,0.11951,0.22303,1.0,4163,2,-0.043209,0.71797,0.72097,1.0,13167,1,-0.043209
BID,4,0.11961,0.22314,1.0,4164,1,0.00092957,0.78067,0.78021,1.0,14296,0,0.00092957
C12orf56,4,0.11966,0.2232,1.0,4165,2,-0.094568,0.78081,0.78034,1.0,14298,0,-0.094568
ANKRD23,4,0.11976,0.22331,1.0,4166,2,-0.094677,0.66992,0.68203,1.0,12422,1,-0.094677
SPINT2,4,0.1198,0.22335,1.0,4167,2,-0.1872,0.8954,0.89509,1.0,16671,0,-0.1872
CDKL3,4,0.1198,0.22335,1.0,4168,1,-0.011554,0.76272,0.76243,1.0,13961,1,-0.011554
GINS2,4,0.11983,0.22339,1.0,4169,2,0.13136,0.05824,0.13448,1.0,2341,2,0.13136
EBF1,4,0.11989,0.22346,1.0,4170,1,0.10804,0.32531,0.46137,1.0,8223,2,0.10804
SFTPB,4,0.11994,0.22352,1.0,4171,1,-0.069014,0.33057,0.46736,1.0,8339,1,-0.069014
LANCL3,4,0.11997,0.22356,1.0,4172,2,-0.051158,0.18882,0.30772,1.0,5386,2,-0.051158
EXT1,4,0.11999,0.22357,1.0,4173,2,-0.11175,0.53012,0.58864,1.0,10609,1,-0.11175
FOXS1,4,0.12002,0.22361,1.0,4174,2,-0.12438,0.89402,0.8937,1.0,16644,0,-0.12438
AGT,4,0.12008,0.22366,1.0,4175,2,-0.19386,0.96777,0.96773,1.0,18241,0,-0.19386
TINAGL1,4,0.12011,0.22372,1.0,4176,2,-0.1606,0.96102,0.96093,1.0,18086,0,-0.1606
ZNF362,4,0.12013,0.22374,1.0,4177,2,-0.06099,0.86128,0.86081,1.0,15965,0,-0.06099
RPL3L,4,0.12013,0.22374,1.0,4178,1,0.14328,0.20777,0.32927,1.0,5769,2,0.14328
CCDC172,4,0.12029,0.22394,1.0,4179,2,-0.26438,0.98842,0.98846,1.0,18734,0,-0.26438
ZNRF2,4,0.12036,0.22403,1.0,4180,2,-0.13326,0.34497,0.48361,1.0,8646,2,-0.13326
PRKD3,4,0.12037,0.22404,1.0,4181,2,-0.009458,0.4353,0.53706,1.0,9654,1,-0.009458
PRR30,4,0.12038,0.22404,1.0,4182,2,-0.11097,0.56962,0.61261,1.0,11064,1,-0.11097
ZNF583,4,0.12042,0.22409,1.0,4183,1,0.10975,0.22021,0.34338,1.0,6010,2,0.10975
CD14,4,0.12046,0.22414,1.0,4184,1,0.064001,0.37217,0.50589,1.0,9088,1,0.064001
DNAAF3,4,0.12048,0.22416,1.0,4185,2,-0.17759,0.58459,0.62216,1.0,11266,1,-0.17759
TMED5,4,0.12053,0.22422,1.0,4186,2,-0.2529,0.92645,0.92625,1.0,17304,0,-0.2529
DUOXA2,4,0.12056,0.22426,1.0,4187,1,0.072965,0.8323,0.83166,1.0,15386,0,0.072965
ARHGAP21,4,0.12057,0.22427,1.0,4188,2,-0.23245,0.66513,0.67836,1.0,12354,1,-0.23245
LOC100130705,4,0.12061,0.22431,1.0,4189,1,0.058845,0.81951,0.81905,1.0,15126,0,0.058845
CYB561D1,4,0.12064,0.22435,1.0,4190,2,-0.20164,0.94135,0.94127,1.0,17639,0,-0.20164
SETD1A,4,0.1207,0.22442,1.0,4191,1,0.2714,0.031607,0.079996,1.0,1486,3,0.2714
HIRIP3,4,0.1208,0.22455,1.0,4192,1,-0.033323,0.26824,0.39723,1.0,6989,1,-0.033323
PRH1,4,0.12089,0.22467,1.0,4193,1,0.059368,0.49505,0.5687,1.0,10254,1,0.059368
ATG2B,4,0.1209,0.22468,1.0,4194,2,-0.18636,0.7567,0.75653,1.0,13853,1,-0.18636
MIB1,4,0.12094,0.22472,1.0,4195,2,-0.14899,0.81978,0.8193,1.0,15132,0,-0.14899
