gene,beta_mean,beta_sd,psp,lfsr,tau_beta_mean,tau_u_mean,phi_mean,n_obs,n_sgrna,n_sample,batch_size
ATRX,0.017045894510333427,0.3266933731981196,0.516,0.484,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
BCAP29,-0.08482039495927512,0.3231433740983833,0.415,0.415,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
BCAR1,0.0973466628141515,0.3218410971050518,0.617,0.383,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
BCDIN3D,0.01852792229840884,0.34615770148648056,0.54,0.45999999999999996,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
BCL10,0.14134953783574467,0.33916292460931285,0.663,0.33699999999999997,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
BCL2L13,0.020046301422983935,0.32557251687518945,0.525,0.475,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
BNIP3L,-0.050166522544147225,0.3205664360812134,0.43,0.43,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
BPIFB3,-0.05924800528010039,0.3168812133744123,0.423,0.423,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
C10orf142,-0.08528587930236074,0.30556558037314924,0.39,0.39,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
C12orf10,0.02041051124323629,0.3250111635584387,0.528,0.472,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
C12orf74,-0.13589429897766667,0.32755216108213264,0.334,0.334,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
C16orf62,-0.0580738134541871,0.3238471405428134,0.447,0.447,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
C18orf42,-0.10459533344216868,0.31751752188002624,0.384,0.384,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
C20orf144,-0.04507308532471861,0.33739574198788336,0.46,0.46,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
C20orf96,0.1676873687792444,0.33274671274014805,0.698,0.30200000000000005,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
C2CD2L,-0.10098287451471424,0.32212832038684774,0.375,0.375,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
C6orf47,-0.20397889643904382,0.33086302269582774,0.269,0.269,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
C6orf52,0.08610097675855843,0.3300081769240703,0.601,0.399,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CA11,-0.20346259989599738,0.3173511374011555,0.265,0.265,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CA3,-0.020806958736415745,0.32970045977469836,0.464,0.464,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CABLES1,0.04290138671823236,0.3236595438582075,0.548,0.45199999999999996,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CACTIN,0.1236816811205275,0.33816122389252007,0.645,0.355,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CALCOCO1,0.12293726851834978,0.3236314758556483,0.659,0.34099999999999997,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CAPN6,-0.05359444160095061,0.31927676573523883,0.437,0.437,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CAPRIN2,0.05160770843953944,0.34156932544271273,0.544,0.45599999999999996,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CAPS,-0.06844848348081517,0.3335811228186243,0.426,0.426,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
CASD1,-0.12442660045459623,0.31654153655422884,0.355,0.355,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
