gene,beta_mean_nuts,beta_sd_nuts,psp_nuts,lfsr_nuts,psp_draws,lfsr_draws,p_beta_gt_0,p_beta_lt_0,p_abs_beta_ge_0_3,p_abs_beta_ge_0_5,n_obs,n_sgrna,n_sample,chains,draws,tune,hit
PGBD5,-0.1454401376087964,0.1135116557821155,0.095,0.095,0.095,0.095,0.095,0.905,0.089,0.001,16,4,4,2,1000,1000,False
PGD,0.2196419630544918,0.1474325006349413,0.93,0.0699999999999999,0.93,0.06999999999999995,0.93,0.07,0.2895,0.031,16,4,4,2,1000,1000,False
PGK1,0.2352850429506983,0.1042309754958387,0.9767441860465116,0.0232558139534884,0.9767441860465116,0.023255813953488413,0.9767441860465116,0.023255813953488372,0.23255813953488372,0.0,16,4,4,2,1000,1000,False
PGM2,-0.0784093015844443,0.0934917362381565,0.199,0.199,0.199,0.199,0.199,0.801,0.011,0.0,16,4,4,2,1000,1000,False
PGM3,0.6929873953244572,0.1761487274727691,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.984,16,4,4,2,1000,1000,True
PGPEP1L,-0.0724192178290339,0.0993862876005804,0.2325,0.2325,0.2325,0.2325,0.2325,0.7675,0.0105,0.0,16,4,4,2,1000,1000,False
PGRMC2,0.1071812293645782,0.146654726142522,0.767,0.2329999999999999,0.767,0.23299999999999998,0.767,0.233,0.0935,0.004,16,4,4,2,1000,1000,False
PHAX,0.387114012415983,0.1220219925080055,0.9985,0.0014999999999999,0.9985,0.0014999999999999458,0.9985,0.0015,0.7665,0.1825,16,4,4,2,1000,1000,False
PHB,0.1452520456115506,0.1209098410776819,0.884,0.1159999999999999,0.884,0.11599999999999999,0.884,0.116,0.101,0.001,16,4,4,2,1000,1000,False
PHF12,-0.1154886846802615,0.0967848453490581,0.122,0.122,0.122,0.122,0.122,0.878,0.0285,0.0,16,4,4,2,1000,1000,False
PHF19,-0.2033124808924476,0.1115572451186958,0.029,0.029,0.029,0.029,0.029,0.971,0.1835,0.007,16,4,4,2,1000,1000,False
PHF23,0.129226200483643,0.1115679994825982,0.88,0.12,0.88,0.12,0.88,0.12,0.065,0.0005,16,4,4,2,1000,1000,False
PHF5A,-0.1940643052861015,0.1200099556654592,0.049,0.049,0.049,0.049,0.049,0.951,0.1865,0.008,16,4,4,2,1000,1000,False
PHF6,0.0746349325863009,0.1803438662713889,0.657,0.3429999999999999,0.9235,0.07650000000000001,0.9235,0.0765,0.326,0.0415,16,4,4,2,1000,1000,False
PHIP,0.3256668579731037,0.1752946329853257,0.969,0.031,0.9995,0.0004999999999999449,0.9995,0.0005,0.869,0.437,16,4,4,2,1000,1000,True
PHKA2,0.1207256324980225,0.0929661761017499,0.8995,0.1005,0.8995,0.10050000000000003,0.8995,0.1005,0.027,0.0,16,4,4,2,1000,1000,False
PHOX2B,-0.187768778862188,0.110729182415756,0.0425,0.0425,0.0425,0.0425,0.0425,0.9575,0.155,0.0025,16,4,4,2,1000,1000,False
PHTF2,-0.2356382525463796,0.13047688622366,0.0697674418604651,0.0697674418604651,0.06976744186046512,0.06976744186046512,0.06976744186046512,0.9302325581395349,0.37209302325581395,0.023255813953488372,16,4,4,2,1000,1000,False
PIBF1,-0.2250642802817791,0.1156326080466245,0.0295,0.0295,0.0295,0.0295,0.0295,0.9705,0.251,0.0095,16,4,4,2,1000,1000,False
PID1,0.1546832002548579,0.1057538327291446,0.9385,0.0615,0.9385,0.0615,0.9385,0.0615,0.0885,0.0015,16,4,4,2,1000,1000,False
PIDD1,-0.631333470707138,0.1489396602269888,0.0,0.0,0.0,0.0,0.0,1.0,0.988,0.803,16,4,4,2,1000,1000,True
PIF1,-0.0985995645901692,0.0996222201301139,0.154,0.154,0.154,0.154,0.154,0.846,0.0235,0.0,16,4,4,2,1000,1000,False
PIGC,0.112003983381034,0.0922311411346576,0.8795,0.1205,0.8795,0.12050000000000005,0.8795,0.1205,0.015,0.0,16,4,4,2,1000,1000,False
PIGF,-0.1373836480922399,0.101463610716474,0.081,0.081,0.081,0.081,0.081,0.919,0.0535,0.0,16,4,4,2,1000,1000,False
PIGN,0.0896944878605003,0.096002504711187,0.823,0.177,0.823,0.17700000000000005,0.823,0.177,0.0205,0.0,16,4,4,2,1000,1000,False
PIGP,-0.2405540439389571,0.0884803154743695,0.0,0.0,0.0,0.0,0.0,1.0,0.2558139534883721,0.0,16,4,4,2,1000,1000,False
PIGS,-0.1514399255848137,0.1044938634137911,0.0735,0.0735,0.0735,0.0735,0.0735,0.9265,0.0775,0.0,16,4,4,2,1000,1000,False
PIGT,-0.218972977458663,0.0804476962256851,0.0,0.0,0.0,0.0,0.0,1.0,0.18604651162790697,0.0,16,4,4,2,1000,1000,False
PIK3CD,0.3076500321384627,0.104774771238177,1.0,0.0,1.0,0.0,1.0,0.0,0.5348837209302325,0.023255813953488372,16,4,4,2,1000,1000,False
PIK3CG,-0.2027933093098629,0.1259131156277143,0.0525,0.0525,0.0525,0.0525,0.0525,0.9475,0.23,0.009,16,4,4,2,1000,1000,False
PIK3R1,0.0529525993602215,0.182694439948337,0.6235,0.3764999999999999,0.9115,0.08850000000000002,0.9115,0.0885,0.273,0.0205,16,4,4,2,1000,1000,False
PIK3R4,-0.1638621173873341,0.1210214081453484,0.085,0.085,0.085,0.085,0.085,0.915,0.1205,0.0045,16,4,4,2,1000,1000,False
PILRA,-0.1039262258196453,0.1122073879122084,0.1685,0.1685,0.1685,0.1685,0.1685,0.8315,0.044,0.0,16,4,4,2,1000,1000,False
PIN1,0.2515046688809015,0.1743661106140106,0.9302325581395348,0.0697674418604651,0.9302325581395349,0.06976744186046513,0.9302325581395349,0.06976744186046512,0.37209302325581395,0.09302325581395349,16,4,4,2,1000,1000,False
PIP4K2A,-0.1988694123364138,0.1141353433960736,0.036,0.036,0.036,0.036,0.036,0.964,0.191,0.0035,16,4,4,2,1000,1000,False
PIP5K1A,0.2310689483165951,0.1153473381612352,0.978,0.022,0.978,0.02200000000000002,0.978,0.022,0.2725,0.009,16,4,4,2,1000,1000,False
PITHD1,-0.1117430641601286,0.1037791278822338,0.1455,0.1455,0.1455,0.1455,0.1455,0.8545,0.0365,0.0,16,4,4,2,1000,1000,False
PITPNM2,-0.177710099350359,0.1155852211105831,0.062,0.062,0.062,0.062,0.062,0.938,0.142,0.0025,16,4,4,2,1000,1000,False
PITX2,0.2449345457445919,0.1151540234096597,0.981,0.019,0.981,0.019000000000000017,0.981,0.019,0.305,0.012,16,4,4,2,1000,1000,False
PITX3,-0.1719451903139574,0.1083377309848386,0.054,0.054,0.054,0.054,0.054,0.946,0.12,0.002,16,4,4,2,1000,1000,False
PIWIL2,-0.0629244458274444,0.102225318933499,0.2655,0.2655,0.2655,0.2655,0.2655,0.7345,0.0085,0.0005,16,4,4,2,1000,1000,False
PKDCC,-0.1965078375477026,0.1171045647343225,0.041,0.041,0.041,0.041,0.041,0.959,0.1845,0.005,16,4,4,2,1000,1000,False
PKNOX1,-0.1101979530374124,0.0983459984428282,0.1315,0.1315,0.1315,0.1315,0.1315,0.8685,0.0285,0.0,16,4,4,2,1000,1000,False
PKP2,0.1829701623999897,0.1082289024253582,0.9505,0.0494999999999999,0.9505,0.04949999999999999,0.9505,0.0495,0.1435,0.0005,16,4,4,2,1000,1000,False
PLA2G2A,0.1407048497365283,0.1143320664512259,0.8925,0.1075,0.8925,0.10750000000000004,0.8925,0.1075,0.078,0.002,16,4,4,2,1000,1000,False
PLA2G2F,-0.11431400401253,0.0888994209946907,0.106,0.106,0.106,0.106,0.106,0.894,0.015,0.0,16,4,4,2,1000,1000,False
