gene,sgrna,u_mean
,CDK12||39439,1.5482038451314044
,CDK12||39440,1.6101530849183237
,CDK12||39441,1.5934822493602472
,CDK12||39442,1.542163871538531
,CDS2||22897,1.556293806956436
,CDS2||22898,1.58532371309805
,CDS2||22899,1.5113663872158143
,CDS2||22900,1.5379220527989208
,CEP72||43151,1.5779400475391705
,CEP72||43152,1.6035246874184976
,CEP72||43153,1.5623908215279974
,CEP72||43154,1.6130832483652222
,CLDN25||73942,1.550359783891782
,CLDN25||73943,1.603371241407305
,CLDN25||73944,1.582881335704911
,CLDN25||73945,1.5524221052874239
,CLEC11A||16865,1.5977045145217286
,CLEC11A||16866,1.5895929044703734
,CLEC11A||16867,1.55219051981458
,CLEC11A||16868,1.5761726482653533
,CLNS1A||3413,1.5823870749505404
,CLNS1A||3414,1.5501782557830843
,CLNS1A||3415,1.6047775940796132
,CLNS1A||3416,1.5669676752721857
,CLP1||29735,1.4456753735209744
,CLP1||29736,1.5116872544266724
,CLP1||29737,1.5943141414206652
,CLP1||29738,1.5447434428859594
,CNIH4||36459,1.5730063442545295
,CNIH4||36460,1.5569112771381617
,CNIH4||36461,1.581660803069084
,CNIH4||36462,1.571102862530079
,COPA||3673,1.5703887632198748
,COPA||3674,1.5970513151377692
,COPA||3675,1.5790414168790599
,COPA||3676,1.5670613686903723
,CREBBP||3865,1.5710970441297414
,CREBBP||3866,1.5607985652966352
,CREBBP||3867,1.5907214835439247
,CREBBP||3868,1.584242072736188
,CSNK2A1||4085,1.5628427358330799
,CSNK2A1||4086,1.557286652428855
,CSNK2A1||4087,1.485816859133102
,CSNK2A1||4088,1.5769798027515183
,CSTF3||4161,1.5657466828501316
,CSTF3||4162,1.581994025965173
,CSTF3||4163,1.580724936526718
,CSTF3||4164,1.5705391208592439
,CT45A3||73153,1.6021448796456375
,CT45A3||73154,1.5737093407421374
,CT45A3||73155,1.4995825023693392
,CT45A3||73156,1.5583359719853846
,CTDNEP1||32695,1.5733393959934217
,CTDNEP1||32696,1.5828429839507134
,CTDNEP1||32697,1.6042915227798364
,CTDNEP1||32698,1.5886699771585275
,CXCL6||17041,1.5801614285591161
,CXCL6||17042,1.4853559793829074
,CXCL6||17043,1.5902121921672607
,CXCL6||17044,1.554344152383937
,CYB5R4||38019,1.5770058573207328
,CYB5R4||38020,1.604526526335989
,CYB5R4||38021,1.5519860717872054
,CYB5R4||38022,1.6020684055074133
,CYLD||4329,1.5743111475262996
,CYLD||4330,1.557262945362892
,CYLD||4331,1.563454226180122
,CYLD||4332,1.5908235830221829
,CYP4X1||67025,1.5920616543303472
,CYP4X1||67026,1.5696548635535394
,CYP4X1||67027,1.5736228351288768
,CYP4X1||67028,1.574952522078855
,DACH1||4473,1.5900142648596873
,DACH1||4474,1.6058294932913777
,DACH1||4475,1.5572405842908739
,DACH1||4476,1.5899019851412866
,DAD1||4477,1.5270821672572883
,DAD1||4478,1.5142915267795931
,DAD1||4479,1.5411663567763698
,DAD1||4480,1.5263455336737488
,DAND5||64557,1.5617426753325465
,DAND5||64558,1.5908664092379654
,DAND5||64559,1.5702292836878493
,DAND5||64560,1.6185081933232839
,DCAF7||27469,1.5957267475145083
,DCAF7||27470,1.5667008957198336
,DCAF7||27471,1.546845830484323
,DCAF7||27472,1.5645973037373175
,DCUN1D5||53247,1.5682108698782606
,DCUN1D5||53248,1.5786191362089887
,DCUN1D5||53249,1.580270546100598
,DCUN1D5||53250,1.5767323382117895
,DDOST||4625,1.572076858018153
,DDOST||4626,1.587915092898835
,DDOST||4627,1.6045402018376613
,DDOST||4628,1.606944113169816
,DDX39B||21081,1.5665366815220265
,DDX39B||21082,1.5702495861096342
,DDX39B||21083,1.6112769148981938
,DDX39B||21084,1.5883948574500286
,DDX3X||4637,1.569365673023418
,DDX3X||4638,1.577098699442787
,DDX3X||4639,1.5852237102562514
,DDX3X||4640,1.5665845970351073
,DHDDS||50431,1.5985907490179816
,DHDDS||50432,1.5871416439397357
,DHDDS||50433,1.5880654253848407
,DHDDS||50434,1.5159829981936706
,DHX36||64165,1.5488418918436442
,DHX36||64166,1.5458243720287361
,DHX36||64167,1.5917565884516107
,DHX36||64168,1.558107677845813
,DIDO1||30071,1.5767545702986854
,DIDO1||30072,1.5768081413047317
,DIDO1||30073,1.5794889591275294
,DIDO1||30074,1.5552023651030664
,DIS3||31143,1.5852809128664638
,DIS3||31144,1.5787838535137364
,DIS3||31145,1.5853348065806512
,DIS3||31146,1.4832774753344593
,DNM1L||26869,1.5584200166543518
,DNM1L||26870,1.565976806671794
,DNM1L||26871,1.588303384559287
,DNM1L||26872,1.5782084870684228
,DNMT1||4937,1.5991165548686477
,DNMT1||4938,1.5299671413451448
,DNMT1||4939,1.52644809977685
,DNMT1||4940,1.5710602631241293
,DNTTIP1||57633,1.5694126715565235
,DNTTIP1||57634,1.6185092994246255
,DNTTIP1||57635,1.556663670731473
,DNTTIP1||57636,1.570014610097883
,DOHH||52159,1.6189241671874597
,DOHH||52160,1.575587401809566
,DOHH||52161,1.5637527349673672
,DOHH||52162,1.5922804224318403
,DOT1L||53611,1.5557039173576963
,DOT1L||53612,1.58757811349607
,DOT1L||53613,1.5617704909263905
,DOT1L||53614,1.5627441129008648
,DPAGT1||4977,1.5696200838373684
,DPAGT1||4978,1.6069720938776086
,DPAGT1||4979,1.5599452001431702
,DPAGT1||4980,1.5731382032178072
,DPF2||16013,1.5674646305671462
,DPF2||16014,1.6001017721813076
,DPF2||16015,1.6149031342625721
,DPF2||16016,1.5830013870962505
,DPM3||39855,1.5685274936291371
,DPM3||39856,1.5512806247369453
,DPM3||39857,1.5720912535481393
,DPM3||39858,1.5683025722544477
,DSCC1||48867,1.5871064009431388
,DSCC1||48868,1.5806227671944824
,DSCC1||48869,1.6179479686484923
,DSCC1||48870,1.5671444918790924
,DTYMK||5133,1.5857951747321795
