gene,dir,fdr,log2fc,neglog10_fdr,abs_log2fc,hit
SERPIND1,neg,1.0,0.15403,-0.0,0.15403,False
KIAA1109,neg,1.0,0.025134,-0.0,0.025134,False
MYO1C,neg,1.0,0.1144,-0.0,0.1144,False
FGF10,neg,1.0,0.12901,-0.0,0.12901,False
MYL5,neg,1.0,0.016288,-0.0,0.016288,False
ZNF853,neg,1.0,0.1004,-0.0,0.1004,False
RPS23,neg,1.0,0.028778,-0.0,0.028778,False
DHX30,neg,1.0,0.13285,-0.0,0.13285,False
PIP4K2B,neg,1.0,-0.0045522,-0.0,0.0045522,False
ALX4,neg,1.0,0.004604,-0.0,0.004604,False
TTC9C,neg,1.0,0.2941,-0.0,0.2941,False
TRPC5OS,neg,1.0,0.12757,-0.0,0.12757,False
LEPROTL1,neg,1.0,0.10059,-0.0,0.10059,False
NUBPL,neg,1.0,0.059168,-0.0,0.059168,False
MRPS12,neg,1.0,0.31032,-0.0,0.31032,False
FAM169A,neg,1.0,0.40557,-0.0,0.40557,False
OR4D1,neg,1.0,0.023102,-0.0,0.023102,False
VPS9D1,neg,1.0,0.10884,-0.0,0.10884,False
KIF1A,neg,1.0,-0.086806,-0.0,0.086806,False
KIFC3,neg,1.0,0.084961,-0.0,0.084961,False
MECOM,neg,1.0,0.057157,-0.0,0.057157,False
ZFYVE9,neg,1.0,0.19604,-0.0,0.19604,False
PDE8B,pos,0.389249,0.58572,0.4097724944824876,0.58572,False
TRIM61,neg,1.0,-0.027905,-0.0,0.027905,False
FGD3,neg,1.0,0.0013347,-0.0,0.0013347,False
ARL13B,neg,1.0,0.11333,-0.0,0.11333,False
COL6A5,neg,1.0,0.12291,-0.0,0.12291,False
KLF15,neg,1.0,0.083455,-0.0,0.083455,False
PRM1,neg,1.0,0.20388,-0.0,0.20388,False
ZNF184,neg,1.0,0.062937,-0.0,0.062937,False
ST3GAL1,neg,1.0,0.084042,-0.0,0.084042,False
NAA20,neg,1.0,0.28496,-0.0,0.28496,False
APOC4,neg,1.0,0.27014,-0.0,0.27014,False
PNPLA4,neg,1.0,0.055577,-0.0,0.055577,False
RASGRP4,neg,1.0,0.17995,-0.0,0.17995,False
APCDD1,neg,1.0,0.033031,-0.0,0.033031,False
RCOR2,neg,1.0,0.06472,-0.0,0.06472,False
FGF14,neg,1.0,0.19727,-0.0,0.19727,False
MPND,neg,1.0,0.17009,-0.0,0.17009,False
GYS1,neg,1.0,0.2647,-0.0,0.2647,False
TCN1,neg,1.0,0.097474,-0.0,0.097474,False
FAM168B,neg,1.0,0.17699,-0.0,0.17699,False
NSUN7,pos,0.943705,0.44683,0.025163743937729945,0.44683,False
SOX7,neg,1.0,0.0062988,-0.0,0.0062988,False
SLC8A3,neg,1.0,-0.017376,-0.0,0.017376,False
ZNF155,neg,1.0,0.26172,-0.0,0.26172,False
USP17L21,neg,1.0,0.1586,-0.0,0.1586,False
SDS,neg,1.0,-0.0077172,-0.0,0.0077172,False
CXCL9,neg,1.0,0.21193,-0.0,0.21193,False
ZNF652,neg,1.0,0.12266,-0.0,0.12266,False
ARHGAP24,neg,1.0,0.2029,-0.0,0.2029,False
ZNF568,pos,0.917818,0.34827,0.037243429291154234,0.34827,False
MUSK,neg,1.0,0.083481,-0.0,0.083481,False
KCNS3,neg,1.0,-0.011365,-0.0,0.011365,False
TXLNG,neg,1.0,0.081336,-0.0,0.081336,False
UBE3D,neg,1.0,0.19242,-0.0,0.19242,False
TNFRSF12A,neg,1.0,0.015584,-0.0,0.015584,False
MTFP1,neg,1.0,-0.057886,-0.0,0.057886,False
PTPN20,neg,1.0,0.043743,-0.0,0.043743,False
SLC25A4,neg,1.0,0.026171,-0.0,0.026171,False
C10orf90,neg,1.0,0.19236,-0.0,0.19236,False
ZNF479,neg,1.0,0.013121,-0.0,0.013121,False
CLIP4,neg,1.0,0.20838,-0.0,0.20838,False
NSFL1C,neg,1.0,0.085535,-0.0,0.085535,False
FAM184A,neg,1.0,0.14878,-0.0,0.14878,False
CMTM6,neg,1.0,0.20439,-0.0,0.20439,False
MCM10,neg,1.0,-0.022909,-0.0,0.022909,False
HIST1H2AE,neg,1.0,0.16154,-0.0,0.16154,False
TNN,neg,1.0,0.16323,-0.0,0.16323,False
ICOSLG,neg,1.0,0.14808,-0.0,0.14808,False
FAM83A,neg,1.0,0.1588,-0.0,0.1588,False
ANTXR1,neg,1.0,0.1438,-0.0,0.1438,False
CUL5,pos,0.271765,0.61637,0.5658064758067297,0.61637,False
SCN4A,neg,1.0,0.094248,-0.0,0.094248,False
CHMP1B,neg,1.0,-0.038388,-0.0,0.038388,False
PSORS1C2,neg,1.0,0.064812,-0.0,0.064812,False
PNKD,neg,1.0,-0.028663,-0.0,0.028663,False
MAPK8,neg,1.0,-0.016276,-0.0,0.016276,False
RASAL3,neg,1.0,0.11409,-0.0,0.11409,False
FAAH,neg,1.0,0.29101,-0.0,0.29101,False
MYL12A,neg,1.0,0.02175,-0.0,0.02175,False
STK33,neg,1.0,-0.044466,-0.0,0.044466,False
KRT34,neg,1.0,0.30515,-0.0,0.30515,False
SCIMP,neg,1.0,0.084962,-0.0,0.084962,False
ADD1,neg,1.0,-0.0086178,-0.0,0.0086178,False
ADAT2,neg,1.0,0.028725,-0.0,0.028725,False
OR5K1,neg,1.0,0.038905,-0.0,0.038905,False
RALYL,neg,1.0,0.1991,-0.0,0.1991,False
LARP4B,neg,1.0,0.13337,-0.0,0.13337,False
HES5,neg,1.0,0.16315,-0.0,0.16315,False
CKMT2,neg,1.0,0.12704,-0.0,0.12704,False
TGS1,pos,0.984253,0.37991,0.0068932528075218895,0.37991,False
OR4L1,neg,1.0,0.19506,-0.0,0.19506,False
FGF1,neg,1.0,0.069653,-0.0,0.069653,False
BDH1,neg,1.0,-0.013448,-0.0,0.013448,False
COL9A2,neg,1.0,0.138,-0.0,0.138,False
PDCL,pos,0.338688,0.54637,0.4702001905006495,0.54637,False
KRT76,neg,1.0,0.15903,-0.0,0.15903,False
SLC6A17,neg,1.0,0.11343,-0.0,0.11343,False
GSDMA,neg,1.0,-0.083287,-0.0,0.083287,False
ZSCAN9,neg,1.0,0.18351,-0.0,0.18351,False
TRPV5,neg,1.0,-0.022343,-0.0,0.022343,False
GGCX,neg,1.0,-0.01763,-0.0,0.01763,False
SH3GL1,neg,1.0,0.23908,-0.0,0.23908,False
SAPCD1,neg,1.0,0.16388,-0.0,0.16388,False
AMIGO3,neg,1.0,0.30144,-0.0,0.30144,False
BCL7A,neg,1.0,0.19561,-0.0,0.19561,False
KCND1,pos,0.313618,0.44876,0.503599019086023,0.44876,False
CDKAL1,neg,1.0,0.061915,-0.0,0.061915,False
NDUFAF7,neg,1.0,-0.023321,-0.0,0.023321,False
MEX3D,neg,1.0,-0.012005,-0.0,0.012005,False
CDH6,neg,1.0,0.091022,-0.0,0.091022,False
UBAP1,neg,1.0,0.17823,-0.0,0.17823,False
ZNF737,neg,1.0,0.19373,-0.0,0.19373,False
DIP2A,neg,1.0,0.11355,-0.0,0.11355,False
ZNF157,neg,1.0,0.077303,-0.0,0.077303,False
FAM122C,neg,1.0,0.011113,-0.0,0.011113,False
CXCL13,neg,1.0,0.012976,-0.0,0.012976,False
RPS15A,neg,1.0,0.60388,-0.0,0.60388,False
AP1B1,pos,0.931912,0.30622,0.030625095927993215,0.30622,False
LOC101060321,neg,1.0,0.1121,-0.0,0.1121,False
