gene,baseMean,n_sgrna,median_lfc,sign_consistency,mad_lfc,wald_beta,wald_se,wald_z,wald_p,composite_rank,confirm_sign_consistency
GDF3,266.49458506062615,4,-0.32744078275856536,0.75,0.22599919620636172,-0.09102406223452508,0.03065758471661906,-2.9690552297546837,0.002987169015530311,17808.5,0.75
MAGEE1,497.4572280561322,4,-0.08029547321577561,0.875,0.12338893170847857,-0.13404463898226626,0.022466640685767297,-5.966385489361747,2.425668332861619e-09,17808.5,1.0
ZNF511,302.70045351802867,4,-0.13449950054798782,0.75,0.20451618386822676,-0.19998107375960705,0.028875523199277116,-6.925625983622471,4.340527937074512e-12,17811.5,0.5
MTR,284.21860796885903,4,-0.29789319224051725,0.75,0.20221694642983395,-0.09404982827870034,0.029686593497895184,-3.168090952751739,0.0015344350791111072,17811.5,0.75
BEND6,676.200851934727,4,-0.1162811954752555,0.875,0.0873345517896382,-0.08436628950300018,0.01924346627019227,-4.384152434828325,1.1643822199980391e-05,17812.5,0.75
FAM9B,307.7668138484376,4,-0.22009401607473753,0.75,0.41011852293968204,-0.11738214153618098,0.028545863960398613,-4.112054261136536,3.9215409808779356e-05,17813.5,0.75
CLEC4D,278.20822160768415,4,-0.1846177852389775,0.75,0.28772559682847293,-0.14689461499081513,0.030055312934337837,-4.887475812071475,1.0213703911521321e-06,17819.5,1.0
OR10K2,414.3415368288191,4,0.15011126522581492,0.75,0.11949960690886646,0.14807496017832233,0.02463287297483402,6.011274459524147,1.8407046997737098e-09,17821.5,0.5
EPC1,193.80694838502276,4,0.20033612395027228,0.75,0.3214623033196059,0.16156357066028737,0.036035481274263634,4.483458107042829,7.3443026418207324e-06,17823.5,0.5
CD40LG,475.3143726170389,4,0.14760259690485023,0.875,0.2546797110477003,0.08122092389949498,0.02295452905276355,3.5383398070506966,0.0004026515175084011,17829.5,1.0
SLC22A2,385.73351409832634,4,0.22400009776600777,0.75,0.1427282648270905,0.10307003585402319,0.0254924187786939,4.043164234386706,5.2734654523378666e-05,17829.5,0.75
ATF7,258.6300547516362,4,0.17014468744969058,1.0,0.07669162949967714,0.07774878267821544,0.03112026523924438,2.498332905600365,0.012477895243736548,17836.5,1.0
ATM,546.5459328150222,4,-0.14824350749683388,0.875,0.07347351381715,-0.07539524944563036,0.021396503321779673,-3.5237182595571555,0.00042553646454623895,17839.5,1.0
DNAJA4,389.35837285369956,4,-0.21070849194648925,0.75,0.29143064563813253,-0.10824194733426318,0.0253739694888143,-4.265865748044659,1.9912850143466443e-05,17840.5,0.75
RFPL1,418.3754907447185,4,-0.2743574334481891,0.625,0.20551601546947634,-0.1989257646623821,0.02456073781971514,-8.0993399352483,4.440892098500626e-16,17842.0,0.75
INTU,326.47068122973445,4,-0.251172291031199,0.75,0.27424964157299087,-0.10049212661745488,0.027703211490132242,-3.6274540463747216,0.0002862296974532885,17853.5,0.75
C15orf59,755.9605339233269,4,0.13071034599036307,0.75,0.15282230268243926,0.13044111426307758,0.018227942490366182,7.156107406637815,8.30002733209767e-13,17856.5,1.0
P2RX2,286.4139009419951,4,-0.20057213461259535,0.75,0.24549552720176676,-0.13198261945481715,0.029606077315310248,-4.457956994747316,8.274449683653984e-06,17858.5,0.75
FAM46D,383.180885982225,4,-0.24790940593238991,0.625,0.3252566125605942,-0.22159591793485123,0.025698401105620768,-8.622945724291915,0.0,17862.0,0.5
MAP6,288.33876069459495,4,-0.2550465329694849,0.75,0.21908624878174848,-0.10546437770660988,0.02948153947899354,-3.5773022566123567,0.0003471586626051515,17865.5,0.75
RASIP1,329.4513751570046,4,-0.22568622838090496,0.75,0.14974011079699523,-0.10983623288955136,0.02758471845688156,-3.9817782828285675,6.840157298615424e-05,17871.5,0.75
AWAT1,319.23219341982934,4,0.18049654619724503,0.75,0.26099172971384366,0.1393799113628752,0.028055538909890595,4.967999788225017,6.764703663897365e-07,17875.5,1.0
ABT1,192.52719568962647,4,0.11909103458352592,0.75,0.26480192546673853,0.29935664808257456,0.036455177332239457,8.211636041551658,2.220446049250313e-16,17877.0,0.75
CD320,417.2034150179667,4,-0.15295401613189288,0.75,0.1829816950460006,-0.14336259800832463,0.02453676960822324,-5.842765787729374,5.134117797567228e-09,17880.5,1.0
WFDC8,300.66686386832987,4,-0.08150507343059152,0.875,0.19330112343319422,-0.16871210711969686,0.028929945118703934,-5.83174653209488,5.4850195496669585e-09,17882.5,1.0
ANKS6,296.15521713659484,4,-0.23167810961982344,0.75,0.1872368629130144,-0.11247770806494539,0.029096114546475683,-3.8657294906260757,0.00011075764637835661,17882.5,0.75
CPLX3,310.4383674423618,4,0.22694817173898182,0.875,0.1897104794063189,0.06372504351229047,0.028393406301730467,2.2443606390546624,0.024809206879756962,17883.5,0.75
YEATS4,324.99170402450784,4,0.27444665091649734,0.625,0.38096718095770027,0.22479450152626507,0.027917998144456932,8.051956317322759,8.881784197001252e-16,17885.0,0.75
EPB41L4B,330.98829571837126,4,0.26583541120659243,0.75,0.21069740655474217,0.09484217925998528,0.02751938618460141,3.4463769876180823,0.000568157164555716,17887.5,1.0
CWF19L1,261.94838822026173,4,-0.2306386031689085,0.75,0.2564958395498247,-0.12023575415636245,0.030946419321235673,-3.885288081579627,0.00010220861642662449,17889.5,1.0
FSCB,263.6440674333487,4,-0.2476994003310583,0.75,0.20905506631587667,-0.11265986434138453,0.030841576315518114,-3.6528568834757995,0.0002593387891682841,17899.5,0.75
KLF13,284.2313582089712,4,0.11314158207863735,1.0,0.09081782949223435,0.10914123673220455,0.02970822174916897,3.67377211782316,0.00023899589781306574,17903.5,1.0
VSX1,259.25413027075126,4,0.11634971261612659,0.875,0.09444645195849208,0.13490637963950924,0.031126834565940512,4.334086055352573,1.4636691556546566e-05,17903.5,1.0
MGAT5,506.65735965981577,4,0.1631942217363485,0.75,0.14988907466925375,0.12110979072807115,0.022256916812038827,5.441445091018291,5.2850083642752566e-08,17903.5,0.75
EHMT1,252.0035489083298,4,-0.21235635896216173,0.75,0.35530413521804766,-0.1328900607261091,0.031563105998980656,-4.210297324046652,2.5503482780298015e-05,17905.5,0.75
