gene,beta_sd_nuts,eb_mu_logphi_batch,eb_tau_beta_scale,chains,psp_nuts,eb_sigma_logphi,draws,n_obs,lfsr_nuts,n_sample,tune,eb_tau_u_scale,batch_no,n_sgrna,beta_mean_nuts
IL33,0.1148914383803156,1.5561944696080865,0.11494520954412,3,0.0356666666666666,0.7084472251108588,1000,16,0.0356666666666666,4,1500,0.4684258567770211,9,4,-0.2001838649812936
IL34,0.1154402501845972,1.550234325699251,0.11494520954412,3,0.8576666666666667,0.7084472251108588,1000,16,0.1423333333333333,4,1500,0.4684258567770211,4,4,0.1212451790335959
IL4I1,0.1195467659126107,1.550234325699251,0.11494520954412,3,0.1153333333333333,0.7084472251108588,1000,16,0.1153333333333333,4,1500,0.4684258567770211,4,4,-0.1447576279026103
IL6,0.1112914831044654,1.5639467862677976,0.11494520954412,3,0.146,0.7084472251108588,1000,16,0.146,4,1500,0.4684258567770211,3,4,-0.1168370653040286
IL7,0.1058956401380859,1.5658840941099257,0.11494520954412,3,0.0983333333333333,0.7084472251108588,1000,16,0.0983333333333333,4,1500,0.4684258567770211,7,4,-0.1360322491709626
IL9,0.1095572605779119,1.5627110919231797,0.11494520954412,3,0.9686666666666668,0.7084472251108588,1000,16,0.0313333333333333,4,1500,0.4684258567770211,2,4,0.2103998772601124
ILK,0.11090461105333971,1.5633554843054513,0.11494520954412007,3,0.06066666666666667,0.7084472251108588,1000,16,0.06066666666666667,4,1500,0.4684258567770211,10,4,-0.1710060766822871
ILKAP,0.10808460698537,1.5658840941099257,0.11494520954412,3,0.0343333333333333,0.7084472251108588,1000,16,0.0343333333333333,4,1500,0.4684258567770211,7,4,-0.1877758120882365
IMMT,0.1227636225340902,1.550234325699251,0.11494520954412,3,0.797,0.7084472251108588,1000,16,0.2029999999999999,4,1500,0.4684258567770211,4,4,0.1022680951635923
IMP3,0.1262605082235412,1.5561944696080865,0.11494520954412,3,0.996,0.7084472251108588,1000,16,0.004,4,1500,0.4684258567770211,9,4,0.3457985226644813
IMPA1,0.109033665822373,1.5665168278530832,0.11494520954412,3,0.0596666666666666,0.7084472251108588,1000,16,0.0596666666666666,4,1500,0.4684258567770211,5,4,-0.1718861901934462
