gene,beta_mean_nuts,beta_sd_nuts,p_beta_gt_0_norm,p_beta_lt_0_norm,psp_norm,lfsr_norm,p_abs_beta_ge_0_3_norm,p_abs_beta_ge_0_5_norm,n_obs,n_sgrna,n_sample,chains,draws,tune,hit,psp_delta,lfsr_delta,p_abs_0_3_delta,p_abs_0_5_delta
TEFM,0.1180827512817703,0.0924753256342856,0.8991831472552179,0.10081685274478214,0.8991831472552179,0.10081685274478214,0.02458328815626131,1.814316165821189e-05,16,4,4,2,1000,1000,False,0.006183147255217847,-0.0061831472552177635,0.0015832881562613116,1.814316165821189e-05
TELO2,0.1195616942481676,0.1010322191676391,0.8816749969346154,0.11832500306538468,0.8816749969346154,0.11832500306538468,0.037070251287336944,8.31036073600143e-05,16,4,4,2,1000,1000,False,-0.006825003065384583,0.00682500306538468,-0.003429748712663057,8.31036073600143e-05
TENM3,-0.2233682855314244,0.1386424071055728,0.053577782616241354,0.9464222173837586,0.9464222173837586,0.053577782616241354,0.2903044282482993,0.023005757590198444,16,4,4,2,1000,1000,False,0.8999105894767819,0.007066154709264652,-0.05853278105402632,0.023005757590198444
TEPP,-0.1744262864351372,0.1231408501075384,0.07831782262728049,0.9216821773727195,0.9216821773727195,0.07831782262728049,0.15398032724895938,0.00409770565005939,16,4,4,2,1000,1000,False,0.8751705494657428,0.031806194720303785,0.06095707143500598,-0.019158108303428907
TERF1,-0.0933238376453766,0.096674676948076,0.16718751756446815,0.8328124824355319,0.8328124824355319,0.16718751756446815,0.016288029270969874,1.295984118194277e-05,16,4,4,2,1000,1000,False,0.6633124824355319,-0.002312482435531865,0.0002880292709698737,1.295984118194277e-05
TERT,-0.162406226105591,0.1072651349936948,0.06500486700502772,0.9349951329949723,0.9349951329949723,0.06500486700502772,0.09979891310544753,0.0008239762152871219,16,4,4,2,1000,1000,False,0.8694951329949723,-0.0004951329949722805,0.002798913105447526,0.0008239762152871219
TESK2,0.2294827916980346,0.1043841096863009,0.9860413181320941,0.013958681867905906,0.9860413181320941,0.013958681867905906,0.24966180328624307,0.004777157164409249,16,4,4,2,1000,1000,False,-0.0014586818679059865,0.0014586818679060056,0.0006618032862430734,-0.0027228428355907507
TET1,0.1849500303726718,0.1182015918889864,0.9411733652988539,0.058826634701146165,0.9411733652988539,0.058826634701146165,0.1652133618446522,0.003845283813563277,16,4,4,2,1000,1000,False,-0.00032663470114613347,0.0003266347011462653,0.000713361844652205,-0.0006547161864367225
TET2,0.5751130377343654,0.175455083022428,0.9994769697703031,0.000523030229696962,0.9994769697703031,0.000523030229696962,0.9415593852676412,0.6657123289470688,16,4,4,2,1000,1000,True,-0.000523030229696908,0.000523030229696962,-0.05444061473235884,-0.2607876710529312
TEX15,-0.2595298598805637,0.0931582749625193,0.0026689472189358465,0.9973310527810642,0.9973310527810642,0.0026689472189358465,0.33199048342811754,0.004921345446072502,16,4,4,2,1000,1000,False,0.9973310527810642,0.0026689472189358465,0.029664902032768725,0.004921345446072502
TEX26,0.0846619427450458,0.0937916658846342,0.8166466940895902,0.18335330591040983,0.8166466940895902,0.18335330591040983,0.010860807062355206,4.7490652267330925e-06,16,4,4,2,1000,1000,False,-0.0033533059104097207,0.0033533059104098317,0.0013608070623552064,4.7490652267330925e-06
TEX261,-0.0603626036407469,0.0939244730335069,0.2602185639764566,0.7397814360235434,0.7397814360235434,0.2602185639764566,0.00542714433042985,1.430320463645123e-06,16,4,4,2,1000,1000,False,0.4752814360235434,-0.004281436023543417,-7.285566957014947e-05,1.430320463645123e-06
TEX264,-0.1026019091790901,0.0896854585263206,0.12630778486206906,0.8736922151379309,0.8736922151379309,0.12630778486206906,0.01387143257816201,4.689421224589177e-06,16,4,4,2,1000,1000,False,0.7536922151379309,0.006307784862069066,-0.0006285674218379899,4.689421224589177e-06
TEX30,-0.1126129919006533,0.0918748568820705,0.11015173905129272,0.8898482609487073,0.8898482609487073,0.11015173905129272,0.020699150327389074,1.240816814744552e-05,16,4,4,2,1000,1000,False,0.7838482609487073,0.004151739051292722,-0.003300849672610927,-0.0004875918318525545
TEX35,-0.230318253228007,0.1105526357502069,0.01861031722132478,0.9813896827786752,0.9813896827786752,0.01861031722132478,0.26424872296548596,0.007355901902502616,16,4,4,2,1000,1000,False,0.9603896827786752,-0.002389682778675222,0.0017487229654859493,-0.00014409809749738392
TEX43,-0.1105944691784274,0.1056875957752499,0.14768171424831744,0.8523182857516826,0.8523182857516826,0.14768171424831744,0.0366075288334149,0.00011458157683998219,16,4,4,2,1000,1000,False,0.6973182857516825,-0.007318285751682557,0.00010752883341490216,0.00011458157683998219
TFAP2C,-0.146225335520912,0.1140733323923371,0.09994696722163376,0.9000530327783662,0.9000530327783662,0.09994696722163376,0.08886963338418002,0.0009633996651851143,16,4,4,2,1000,1000,False,0.7980530327783663,-0.002053032778366229,-0.0016303666158199726,0.0009633996651851143
TFDP1,-0.1584142958002821,0.1027834559490964,0.06162881154018773,0.9383711884598123,0.9383711884598123,0.06162881154018773,0.08418071051391685,0.0004447115423804087,16,4,4,2,1000,1000,False,0.8823711884598122,0.005628811540187732,-0.0003192894860831602,-5.5288457619591326e-05
TFG,-0.2096938993947989,0.0884975063292216,0.008906333869208582,0.9910936661307914,0.9910936661307914,0.008906333869208582,0.15376070939565267,0.000518323260809112,16,4,4,2,1000,1000,False,0.9678378521773031,-0.014349480084279716,0.01422582567472247,0.000518323260809112
TFPT,0.1509810411229433,0.1087651622690873,0.9174524671963702,0.08254753280362981,0.9174524671963702,0.08254753280362981,0.08534500555857634,0.0006661684513181515,16,4,4,2,1000,1000,False,-0.006547532803629852,0.006547532803629907,0.0018450055585763347,-0.0018338315486818484
TFRC,0.194345563403999,0.1533638808149476,0.8974614328289248,0.10253856717107523,0.8974614328289248,0.10253856717107523,0.2460723766692451,0.02313362938667183,16,4,4,2,1000,1000,False,0.00446143282892475,-0.004461432828924666,-0.0004276233307548838,-0.0008663706133281712
TGFB1I1,0.1197785681997631,0.103341898594166,0.8767823748982387,0.12321762510176126,0.8767823748982387,0.12321762510176126,0.040609638633022076,0.00011695810513118482,16,4,4,2,1000,1000,False,-0.0037176251017612127,0.0037176251017612683,-0.0008903613669779264,0.00011695810513118482
TGFBR1,1.8139353486198255,0.1845020279905457,1.0,4.1183107689784707e-23,1.0,4.1183107689784707e-23,0.9999999999999999,0.9999999999994663,16,4,4,2,1000,1000,True,0.0,4.1183107689784707e-23,-1.1102230246251565e-16,-5.336842079373127e-13
TGFBR2,1.607414216107809,0.1863251580204497,1.0,3.1510181471067066e-18,1.0,3.1510181471067066e-18,0.9999999999988654,0.9999999986045734,16,4,4,2,1000,1000,True,0.0,3.1510181471067066e-18,-1.13464793116691e-12,-1.395426552086576e-09
TGFBR3L,0.16939504877297,0.1040816465327673,0.9481867368863214,0.05181326311367859,0.9481867368863214,0.05181326311367859,0.10477317137323676,0.0007455757825574528,16,4,4,2,1000,1000,False,0.004186736886321429,-0.0041867368863214086,-0.008726828626763244,0.0002455757825574528
TGFBRAP1,-0.2164889442217854,0.1090476654559191,0.023557278368466883,0.9764427216315331,0.9764427216315331,0.023557278368466883,0.2218923230461412,0.004662791930170466,16,4,4,2,1000,1000,False,0.9539427216315332,0.0010572783684668838,-0.013107676953858782,0.001162791930170466
TGIF1,-0.1081189999391666,0.0954544273184165,0.1286750356605777,0.8713249643394223,0.8713249643394223,0.1286750356605777,0.02221537211756822,2.017869736917601e-05,16,4,4,2,1000,1000,False,0.7393249643394223,-0.0033249643394223094,-0.00428462788243178,2.017869736917601e-05
TH,-0.0564439475374852,0.096012043479624,0.27830506652890596,0.721694933471094,0.721694933471094,0.27830506652890596,0.005697371295912996,1.9239924200092112e-06,16,4,4,2,1000,1000,False,0.449694933471094,0.006305066528905945,-0.0008026287040870037,1.9239924200092112e-06
THAP7,-0.1637399111394691,0.1053928640475165,0.0601381660001975,0.9398618339998025,0.9398618339998025,0.0601381660001975,0.09803208201817798,0.0007100374489556472,16,4,4,2,1000,1000,False,0.8828618339998024,0.0031381660001974995,-0.009467917981822019,0.00021003744895564723
THBS4,-0.1424288436223062,0.1048456313856496,0.08715850952196291,0.9128414904780371,0.9128414904780371,0.08715850952196291,0.0664462937044104,0.000324275090922962,16,4,4,2,1000,1000,False,0.8308414904780371,0.005158509521962909,0.005946293704410396,-0.000675724909077038
THOC6,-0.2194302299617821,0.1056963379234759,0.01894494882468656,0.9810550511753134,0.9810550511753134,0.01894494882468656,0.22294812564818095,0.003971431056608014,16,4,4,2,1000,1000,False,0.9585550511753135,-0.003555051175313441,-0.009051874351819061,0.0019714310566080143
THYN1,-0.1204697717929132,0.111480816126894,0.13993035224214612,0.8600696477578539,0.8600696477578539,0.13993035224214612,0.053734867736719615,0.0003315071630841149,16,4,4,2,1000,1000,False,0.7130696477578539,-0.007069647757853875,-0.0022651322632803866,0.0003315071630841149
TIA1,0.1544593143275888,0.0989642236087217,0.9407097016069582,0.05929029839304178,0.9407097016069582,0.05929029839304178,0.07069652583722598,0.0002400937720829252,16,4,4,2,1000,1000,False,-0.0017902983930417893,0.0017902983930418795,0.002196525837225974,0.0002400937720829252
TIAL1,0.1200323601349002,0.177299968196635,0.7507975267933547,0.24920247320664535,0.7507975267933547,0.24920247320664535,0.16395886710941623,0.016288612124255693,16,4,4,2,1000,1000,False,0.005797526793354657,-0.005797526793354657,-0.2535411328905838,-0.05171138787574431
TIAM2,-0.1094975836400808,0.1073209546410542,0.15379748939351745,0.8462025106064825,0.8462025106064825,0.15379748939351745,0.03801092040841351,0.00013704708978721247,16,4,4,2,1000,1000,False,0.6957025106064826,0.0032974893935174554,0.0030109204084135047,0.00013704708978721247
TIMM9,-0.1450460629097197,0.1025406221144384,0.07860420744733343,0.9213957925526666,0.9213957925526666,0.07860420744733343,0.06538263938477486,0.00026849407163583136,16,4,4,2,1000,1000,False,0.8483957925526666,0.005604207447333434,0.0008826393847748554,-0.00023150592836416865
TIPIN,-0.2181265316263027,0.1091368702263519,0.022823055741833187,0.9771769442581668,0.9771769442581668,0.022823055741833187,0.2265709502308919,0.004900787791167448,16,4,4,2,1000,1000,False,0.9556769442581668,0.0013230557418331887,7.0950230891903e-05,0.0014007877911674477
TIPRL,0.3331699146042111,0.1624289205979326,0.9798749783051663,0.02012502169483366,0.9798749783051663,0.02012502169483366,0.5809545025487951,0.15218778968695648,16,4,4,2,1000,1000,False,-0.020125021694833656,0.02012502169483366,-0.023696660241902534,-0.010602907987462107
TKT,-0.1326120642532514,0.1050692210459861,0.10344921116116068,0.8965507888388393,0.8965507888388393,0.10344921116116068,0.055585732974745075,0.00023559043397243488,16,4,4,2,1000,1000,False,0.7980507888388393,0.004949211161160677,0.0015857329747450757,0.00023559043397243488
TLE3,-1.2586894956629024,0.1797769607536989,1.2670975380046912e-12,0.9999999999987329,0.9999999999987329,1.2670975380046912e-12,0.9999999516079179,0.9999877941398726,16,4,4,2,1000,1000,True,0.9999999999987329,1.2670975380046912e-12,-4.8392082119264046e-08,-1.2205860127401102e-05
TLK2,-0.1633492554477608,0.1233813230533065,0.09276177337707514,0.9072382266229249,0.9072382266229249,0.09276177337707514,0.13411504745262198,0.0031808169262802373,16,4,4,2,1000,1000,False,0.8137382266229248,-0.0007382266229248591,-0.008884952547378006,0.0016808169262802373
TLN1,-0.2587699381146521,0.1172901875195659,0.013683708919059678,0.9863162910809403,0.9863162910809403,0.013683708919059678,0.3625993963800048,0.019857819729245014,16,4,4,2,1000,1000,False,0.9863162910809403,0.013683708919059678,-0.03274944082929748,0.019857819729245014
TLR3,-0.1082411814613897,0.1092087741092652,0.16080861823185466,0.8391913817681453,0.8391913817681453,0.16080861823185466,0.039646102677548714,0.00016710680441631338,16,4,4,2,1000,1000,False,0.6726913817681454,-0.005691381768145348,-0.0033538973224512825,0.00016710680441631338
TLX2,0.1373598463538011,0.0925030933048995,0.931217710487459,0.06878228951254091,0.931217710487459,0.06878228951254091,0.039356758993001804,4.421885634163006e-05,16,4,4,2,1000,1000,False,-0.0007822895125410012,0.0007822895125410151,-0.004643241006998193,4.421885634163006e-05
TM7SF3,-0.1613331808091399,0.1156929937948397,0.08158424641436302,0.918415753585637,0.918415753585637,0.08158424641436302,0.11537984973057042,0.0017096608016615,16,4,4,2,1000,1000,False,0.839915753585637,0.003084246414363015,-0.002120150269429577,-0.0022903391983385
TM9SF3,0.153513173417324,0.1075681916657173,0.9232279561894343,0.07677204381056563,0.9232279561894343,0.07677204381056563,0.08664225695130247,0.0006385208077233836,16,4,4,2,1000,1000,False,-0.0012720438105656706,0.001272043810565629,0.0006422569513024751,-0.0008614791922766165
TMC2,-0.1274217093725474,0.1170416833872195,0.1381460620720053,0.8618539379279947,0.8618539379279947,0.1381460620720053,0.07030329713380344,0.0007280855300710007,16,4,4,2,1000,1000,False,0.7203539379279947,-0.0033539379279946824,-0.006196702866196557,-0.0007719144699289993
TMC5,-0.0960575010713234,0.1131750743611291,0.19800982348545404,0.801990176514546,0.801990176514546,0.19800982348545404,0.03600505286621456,0.00017911788652450033,16,4,4,2,1000,1000,False,0.603490176514546,-0.0004901765145459702,0.005505052866214562,0.00017911788652450033
TMC8,0.1455487829932951,0.1086948019797918,0.9097243119165171,0.09027568808348285,0.9097243119165171,0.09027568808348285,0.07768459796409243,0.0005551472438198265,16,4,4,2,1000,1000,False,0.003224311916517175,-0.0032243119165171474,-0.004315402035907578,5.514724381982649e-05
TMCC2,-0.0507328009930131,0.0943979741462563,0.2954834920147642,0.7045165079852358,0.7045165079852358,0.2954834920147642,0.004239393430386899,9.740857079038981e-07,16,4,4,2,1000,1000,False,0.4085165079852358,-0.0005165079852357812,-0.0012606065696131007,9.740857079038981e-07
TMED2,0.1503180009287812,0.1172746666413476,0.9000366112405622,0.09996338875943778,0.9000366112405622,0.09996338875943778,0.10097975661183366,0.0014331137273869766,16,4,4,2,1000,1000,False,0.000536611240562257,-0.0005366112405622292,-2.0243388166349408e-05,-6.688627261302346e-05
TMED3,-0.0887074941859677,0.1010531631666151,0.19001800153870607,0.8099819984612939,0.8099819984612939,0.19001800153870607,0.01832820911880613,2.350329057501798e-05,16,4,4,2,1000,1000,False,0.6089819984612939,-0.01098199846129394,0.000828209118806128,2.350329057501798e-05
TMEM106C,-0.082703232416121,0.0993995600066817,0.20269652659635695,0.797303473403643,0.797303473403643,0.20269652659635695,0.014463392358617298,1.345600501118384e-05,16,4,4,2,1000,1000,False,0.591803473403643,-0.0028034734036430364,0.003963392358617297,1.345600501118384e-05
TMEM115,-0.4178073719654709,0.1210241941259127,0.0002779525882272704,0.9997220474117727,0.9997220474117727,0.0002779525882272704,0.8348277019970459,0.24852390768653848,16,4,4,2,1000,1000,False,0.9997220474117727,0.0002779525882272704,0.01282770199704597,-0.006476092313461523
TMEM127,0.2504573405231909,0.1065463474348111,0.990630658976246,0.00936934102375396,0.990630658976246,0.00936934102375396,0.32097052590346037,0.009587677457844496,16,4,4,2,1000,1000,False,-0.002369341023753968,0.0023693410237539602,0.003470525903460364,-0.0034123225421555034
TMEM129,0.2190635998484148,0.1099249775350528,0.9768608674877679,0.02313913251223207,0.9768608674877679,0.02313913251223207,0.2307790069770437,0.005298564852849809,16,4,4,2,1000,1000,False,0.004360867487767872,-0.0043608674877678305,0.00027900697704369426,0.0017985648528498093
