gene,beta_sd_nuts,eb_mu_logphi_batch,eb_tau_beta_scale,chains,psp_nuts,eb_sigma_logphi,draws,n_obs,lfsr_nuts,n_sample,tune,eb_tau_u_scale,batch_no,n_sgrna,beta_mean_nuts,p_abs_beta_ge_0_3,p_abs_beta_ge_0_5,p_beta_gt_0,p_beta_lt_0,psp_draws,lfsr_draws,hit
A2ML1,0.1102851280120831,1.5627110919231797,0.11494520954412,3,0.232,0.7084472251108588,1000,16,0.232,4,1500,0.4684258567770211,2,4,-0.0811490856070948,0.024666666666666667,0.0003333333333333333,0.232,0.768,0.232,0.232,False
AAK1,0.1099662133510827,1.5633554843054511,0.11494520954412,3,0.1046666666666666,0.7084472251108588,1000,16,0.1046666666666666,4,1500,0.4684258567770211,10,4,-0.13749314210713,0.07433333333333333,0.001,0.10466666666666667,0.8953333333333333,0.10466666666666667,0.10466666666666667,False
AAMP,0.1135041054082008,1.5658840941099257,0.11494520954412,3,0.6693333333333333,0.7084472251108588,1000,16,0.3306666666666666,4,1500,0.4684258567770211,7,4,0.0500975277258153,0.012,0.0,0.6693333333333333,0.33066666666666666,0.6693333333333333,0.33066666666666666,False
AANAT,0.1123745782092477,1.5639467862677976,0.11494520954412,3,0.9236666666666666,0.7084472251108588,1000,16,0.0763333333333333,4,1500,0.4684258567770211,3,4,0.1586765403525131,0.10466666666666667,0.001,0.9236666666666666,0.07633333333333334,0.9236666666666666,0.07633333333333336,False
AARS2,0.1073135278264237,1.5658840941099257,0.11494520954412,3,0.737,0.7084472251108588,1000,16,0.263,4,1500,0.4684258567770211,7,4,0.0664477492902838,0.014,0.0,0.737,0.263,0.737,0.263,False
AARSD1,0.1084531713583431,1.5697311140197716,0.11494520954412,3,0.875,0.7084472251108588,1000,16,0.125,4,1500,0.4684258567770211,6,4,0.1255318234556089,0.051666666666666666,0.0,0.875,0.125,0.875,0.125,False
ABCA13,0.1173728387415858,1.5556958958618938,0.11494520954412,3,0.081,0.7084472251108588,1000,16,0.081,4,1500,0.4684258567770211,8,4,-0.1671596987081994,0.13366666666666666,0.0016666666666666668,0.081,0.919,0.081,0.081,False
ABCA2,0.1115877183984708,1.5561944696080865,0.11494520954412,3,0.9576666666666668,0.7084472251108588,1000,16,0.0423333333333333,4,1500,0.4684258567770211,9,4,0.1925149638501007,0.16333333333333333,0.003,0.9576666666666667,0.042333333333333334,0.9576666666666667,0.042333333333333334,False
ABCA5,0.1136425776156536,1.5706860989184106,0.11494520954412,3,0.118,0.7084472251108588,1000,16,0.118,4,1500,0.4684258567770211,1,4,-0.1351669058591445,0.078,0.0,0.118,0.882,0.118,0.118,False
ABCB11,0.1171568654732429,1.5706860989184106,0.11494520954412,3,0.8693333333333333,0.7084472251108588,1000,16,0.1306666666666667,4,1500,0.4684258567770211,1,4,0.1279366742742206,0.074,0.001,0.8693333333333333,0.13066666666666665,0.8693333333333333,0.1306666666666667,False
ABCB6,0.1121140153844305,1.5665168278530832,0.11494520954412,3,0.903,0.7084472251108588,1000,16,0.0969999999999999,4,1500,0.4684258567770211,5,4,0.1404590461535995,0.07166666666666667,0.0003333333333333333,0.903,0.097,0.903,0.09699999999999998,False
ABCB7,0.1119864803675599,1.5639467862677976,0.11494520954412,3,0.011,0.7084472251108588,1000,16,0.011,4,1500,0.4684258567770211,3,4,-0.2660492473396895,0.38466666666666666,0.017666666666666667,0.011,0.989,0.011,0.011,False
ABCC12,0.1171957232959718,1.5639467862677976,0.11494520954412,3,0.8566666666666667,0.7084472251108588,1000,16,0.1433333333333333,4,1500,0.4684258567770211,3,4,0.1234885331093429,0.07,0.0003333333333333333,0.8566666666666667,0.14333333333333334,0.8566666666666667,0.1433333333333333,False
ABCC4,0.1136044013677217,1.5633554843054511,0.11494520954412,3,0.647,0.7084472251108588,1000,16,0.353,4,1500,0.4684258567770211,10,4,0.0431353773556014,0.014,0.0,0.647,0.353,0.647,0.353,False
ABCC6,0.1141982167253466,1.5706860989184106,0.11494520954412,3,0.8906666666666667,0.7084472251108588,1000,16,0.1093333333333332,4,1500,0.4684258567770211,1,4,0.1420493060366843,0.084,0.0003333333333333333,0.8906666666666667,0.10933333333333334,0.8906666666666667,0.10933333333333328,False
