gene,beta_mean,beta_sd,psp,lfsr,tau_beta_mean,tau_u_mean,phi_mean,n_obs,n_sgrna,n_sample,batch_size,p_abs_beta_ge_0_3,p_abs_beta_ge_0_5,p_beta_gt_0,p_beta_lt_0,psp_draws,lfsr_draws,hit
RTN4,0.0680544381083933,0.3320425540931972,0.577,0.423,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.375,0.132,0.577,0.423,0.577,0.42300000000000004,False
RUFY4,0.0700337790278889,0.3318975720533008,0.591,0.409,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.373,0.134,0.591,0.409,0.591,0.40900000000000003,False
S100A9,-0.0781531152228309,0.3329602781500902,0.409,0.409,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.367,0.148,0.409,0.591,0.409,0.409,False
SAC3D1,-0.0070862586064066,0.3393204209987925,0.475,0.475,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.372,0.145,0.475,0.525,0.475,0.475,False
SALL1,0.0579697346890656,0.3310564781793508,0.559,0.4409999999999999,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.357,0.135,0.559,0.441,0.559,0.44099999999999995,False
SARS2,0.0639679431798044,0.3279354021273221,0.587,0.413,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.389,0.134,0.587,0.413,0.587,0.41300000000000003,False
SART1,0.0799163641069581,0.3367764171559188,0.578,0.422,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.376,0.141,0.578,0.422,0.578,0.42200000000000004,False
SCG5,0.2581998237584291,0.3400030595951263,0.776,0.2239999999999999,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.473,0.254,0.776,0.224,0.776,0.22399999999999998,False
SEC23IP,0.2861626383479601,0.3301587958507478,0.813,0.187,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.505,0.262,0.813,0.187,0.813,0.18700000000000006,False
SEC61A2,-0.0857111004633024,0.328406050357037,0.405,0.405,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.384,0.141,0.405,0.595,0.405,0.405,False
SERPINA3,0.0712657085403791,0.3239987399846026,0.599,0.401,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.393,0.118,0.599,0.401,0.599,0.401,False
SETD8,-0.048405205147918,0.3489827129865033,0.449,0.449,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.408,0.158,0.449,0.551,0.449,0.449,False
SGCG,0.0816576972848017,0.3259341265117126,0.604,0.396,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.389,0.135,0.604,0.396,0.604,0.396,False
SH3TC2,0.0255227683713245,0.3171743306878302,0.511,0.489,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.328,0.117,0.511,0.489,0.511,0.489,False
SHB,-0.1933844262908389,0.328194435965012,0.271,0.271,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.444,0.182,0.271,0.729,0.271,0.271,False
SHF,0.218921858752854,0.3316441050631911,0.74,0.26,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.464,0.214,0.74,0.26,0.74,0.26,False
SIDT2,0.0946305879493305,0.3331420609192008,0.615,0.385,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.354,0.151,0.615,0.385,0.615,0.385,False
SIRT1,0.094632563439552,0.3382512453342292,0.611,0.389,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.401,0.152,0.611,0.389,0.611,0.389,False
SLA2,-0.2198201555096539,0.3450962976857836,0.259,0.259,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.482,0.234,0.259,0.741,0.259,0.259,False
SLAMF1,-0.186051578108155,0.321426766325727,0.287,0.287,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.428,0.188,0.287,0.713,0.287,0.287,False
SLAMF8,-0.1221974473585945,0.3337258326488532,0.368,0.368,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.396,0.161,0.368,0.632,0.368,0.368,False
SLC12A1,-0.1989698352628151,0.3299858422161104,0.282,0.282,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.441,0.193,0.282,0.718,0.282,0.282,False
SLC12A2,-0.0995271418507086,0.3282037387998339,0.376,0.376,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.373,0.144,0.376,0.624,0.376,0.376,False
SLC14A1,0.0032516185422385,0.3151773109016575,0.489,0.489,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.35,0.109,0.489,0.511,0.489,0.489,False
SLC1A1,0.1065282804704353,0.3405820487735687,0.611,0.389,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.409,0.168,0.611,0.389,0.611,0.389,False
SLC25A27,-0.1589370175121772,0.3345330502765396,0.32,0.32,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.425,0.187,0.32,0.68,0.32,0.32,False
SLC29A1,-0.2002818103074512,0.3489757537977542,0.285,0.285,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.467,0.23,0.285,0.715,0.285,0.285,False
SLC30A9,0.0425341144942799,0.3314647953749185,0.56,0.4399999999999999,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.365,0.123,0.56,0.44,0.56,0.43999999999999995,False
SLC38A2,-0.0569802476290359,0.3294435773840884,0.423,0.423,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.384,0.134,0.423,0.577,0.423,0.423,False
SLC39A11,-0.3393756980233605,0.3404990815279751,0.15,0.15,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.577,0.309,0.15,0.85,0.15,0.15,False
SLC40A1,0.0860998801452998,0.3155532422364602,0.598,0.402,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.367,0.127,0.598,0.402,0.598,0.402,False
SLC4A3,0.0983242760029203,0.3185148064539607,0.63,0.37,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.363,0.13,0.63,0.37,0.63,0.37,False
SLC51A,0.0907085993429294,0.3102226398172055,0.622,0.378,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.36,0.117,0.622,0.378,0.622,0.378,False
SLC5A3,-0.1328630017044333,0.3289637880206074,0.353,0.353,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.388,0.171,0.353,0.647,0.353,0.353,False
SLC6A14,-0.0260570885962067,0.3168182371004632,0.453,0.453,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.336,0.12,0.453,0.547,0.453,0.453,False
SLC9C1,0.0830433030380036,0.336853389718612,0.6,0.4,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.386,0.144,0.6,0.4,0.6,0.4,False
SLCO3A1,0.0085380030596935,0.3411743565349335,0.518,0.482,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.368,0.139,0.518,0.482,0.518,0.482,False
SLFN5,0.063243624983821,0.3394477221364423,0.565,0.435,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.396,0.152,0.565,0.435,0.565,0.43500000000000005,False
SLITRK5,-0.1626681011533799,0.3227974078053027,0.308,0.308,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.409,0.169,0.308,0.692,0.308,0.308,False
SMC1B,-0.2091463470949225,0.3344193362020879,0.267,0.267,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.465,0.207,0.267,0.733,0.267,0.267,False
SMUG1,0.2713166734892404,0.3400869098723844,0.786,0.2139999999999999,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.507,0.258,0.786,0.214,0.786,0.21399999999999997,False
SNRNP48,-0.2013979266731447,0.3405059469791313,0.274,0.274,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.478,0.202,0.274,0.726,0.274,0.274,False
SNX18,0.1238625471938449,0.3223784972305107,0.648,0.352,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.389,0.138,0.648,0.352,0.648,0.352,False
SOD2,-0.0465434966367352,0.3433286459531198,0.463,0.463,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.382,0.151,0.463,0.537,0.463,0.463,False
SOGA3,0.1695822579499532,0.318037605875785,0.705,0.295,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.416,0.162,0.705,0.295,0.705,0.29500000000000004,False
SPA17,0.051725815835391,0.3288659614713384,0.571,0.429,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.363,0.133,0.571,0.429,0.571,0.42900000000000005,False
SPAST,0.0286294830265182,0.314332978774103,0.526,0.474,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.323,0.107,0.526,0.474,0.526,0.474,False
SPATA16,0.1408541971947344,0.3309812867098043,0.666,0.3339999999999999,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.406,0.161,0.666,0.334,0.666,0.33399999999999996,False
SPDYE6,-0.2787234069342654,0.3664943688897614,0.224,0.224,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.534,0.294,0.224,0.776,0.224,0.224,False
SPOCK2,0.1711584778542834,0.323614894209881,0.699,0.301,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.411,0.175,0.699,0.301,0.699,0.30100000000000005,False
SPRY4,0.0269310468352951,0.3154717569323322,0.53,0.47,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.362,0.108,0.53,0.47,0.53,0.47,False
SQRDL,-0.10555542883224,0.3270120596309591,0.387,0.387,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.373,0.142,0.387,0.613,0.387,0.387,False
SRGAP2C,0.1594057892013137,0.3453488186078871,0.674,0.3259999999999999,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.429,0.187,0.674,0.326,0.674,0.32599999999999996,False
SRPX,0.1355528882949482,0.3337153482343469,0.649,0.351,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.423,0.163,0.649,0.351,0.649,0.351,False
SRSF1,0.0005689211797383,0.3611580030075979,0.497,0.497,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.419,0.165,0.497,0.503,0.497,0.497,False
ST20,0.1330427657673122,0.33579513097906,0.658,0.3419999999999999,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.423,0.168,0.658,0.342,0.658,0.34199999999999997,False
STEAP2,-0.1548399805796672,0.3323774611567394,0.329,0.329,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.425,0.174,0.329,0.671,0.329,0.329,False
STX12,-0.1058493254721307,0.3059470131349289,0.357,0.357,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.33,0.132,0.357,0.643,0.357,0.357,False
SUN2,-0.078644563900316,0.3205426734124231,0.409,0.409,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.372,0.132,0.409,0.591,0.409,0.409,False
SUPT6H,-0.1455210846464418,0.3556718719491389,0.329,0.329,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.437,0.187,0.329,0.671,0.329,0.329,False
TAC1,-0.1629187949636205,0.3125107574327327,0.313,0.313,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.398,0.162,0.313,0.687,0.313,0.313,False
TAOK3,-0.2657648361331476,0.3277190697124395,0.224,0.224,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.494,0.25,0.224,0.776,0.224,0.224,False
TBC1D10B,-0.1684949569578865,0.3164419463896671,0.295,0.295,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.397,0.164,0.295,0.705,0.295,0.295,False
TBC1D20,-0.0608088511629369,0.340018831043963,0.405,0.405,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.378,0.156,0.405,0.595,0.405,0.405,False
TBC1D21,-0.1261581331616674,0.3174815918378767,0.366,0.366,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.39,0.149,0.366,0.634,0.366,0.366,False
TBC1D2B,0.1147943576408158,0.3104296424273184,0.635,0.365,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.371,0.137,0.635,0.365,0.635,0.365,False
TBCK,0.0065711801517986,0.3257966481434186,0.507,0.493,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.364,0.113,0.507,0.493,0.507,0.493,False
TBKBP1,0.1888439292097862,0.3379004367994261,0.7,0.3,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.461,0.193,0.7,0.3,0.7,0.30000000000000004,False
TBL3,0.0780384371524593,0.3442197889588575,0.581,0.419,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.403,0.15,0.581,0.419,0.581,0.41900000000000004,False
TCERG1,-0.1539825997340505,0.3334819309567951,0.327,0.327,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.413,0.18,0.327,0.673,0.327,0.327,False
TEKT1,-0.040429126517296,0.3305584909339552,0.437,0.437,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.36,0.119,0.437,0.563,0.437,0.437,False
TEX22,0.0367668548258121,0.3167584643837614,0.54,0.4599999999999999,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.343,0.112,0.54,0.46,0.54,0.45999999999999996,False
TFAP2B,0.0191835777093919,0.3240975746989225,0.515,0.485,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.357,0.119,0.515,0.485,0.515,0.485,False
TFRC,0.3169129282884406,0.3731657623392793,0.808,0.1919999999999999,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.577,0.332,0.808,0.192,0.808,0.19199999999999995,False
THAP3,-0.0448790660689806,0.3160135702033239,0.431,0.431,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.359,0.12,0.431,0.569,0.431,0.431,False
THOC2,0.134957504046007,0.3423055858428612,0.642,0.358,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.425,0.185,0.642,0.358,0.642,0.358,False
TLE1,0.0912009172769316,0.3213303139133571,0.616,0.384,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.367,0.139,0.616,0.384,0.616,0.384,False
TM4SF4,-0.0340157350270309,0.3228600792951835,0.467,0.467,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.348,0.126,0.467,0.533,0.467,0.467,False
TMEM102,-0.1063969068273826,0.328213032068065,0.391,0.391,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.377,0.144,0.391,0.609,0.391,0.391,False
TMEM135,-0.0526008072119849,0.3139779490738602,0.422,0.422,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.333,0.114,0.422,0.578,0.422,0.422,False
TMEM180,-0.0625817891147316,0.3125573349035211,0.412,0.412,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.346,0.118,0.412,0.588,0.412,0.412,False
TMEM189,-0.2082746025767331,0.3183784556372656,0.254,0.254,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.448,0.173,0.254,0.746,0.254,0.254,False
TMEM202,-0.0100178772801751,0.3337125553894376,0.498,0.498,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.366,0.131,0.498,0.502,0.498,0.498,False
TMEM209,-0.0288737599086531,0.3283613767377428,0.477,0.477,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.376,0.132,0.477,0.523,0.477,0.477,False
TMEM217,-0.2137516862641463,0.3357901285412354,0.268,0.268,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.473,0.219,0.268,0.732,0.268,0.268,False
TMEM248,0.1446181526075028,0.3110222173613565,0.687,0.3129999999999999,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.389,0.148,0.687,0.313,0.687,0.31299999999999994,False
TMEM27,-0.0715207405474222,0.3182514185164611,0.383,0.383,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.359,0.131,0.383,0.617,0.383,0.383,False
TMEM44,-0.0980831204882997,0.3349240465827811,0.379,0.379,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.381,0.164,0.379,0.621,0.379,0.379,False
TMEM63A,0.1465626969264597,0.3320403307231382,0.678,0.3219999999999999,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.406,0.166,0.678,0.322,0.678,0.32199999999999995,False
TMEM64,0.1374542808227004,0.310264583377702,0.67,0.3299999999999999,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.378,0.152,0.67,0.33,0.67,0.32999999999999996,False
TMX3,0.0951852032065329,0.3522463166233098,0.608,0.392,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.423,0.181,0.608,0.392,0.608,0.392,False
TOR1AIP1,0.1150299569136077,0.3194578273670103,0.63,0.37,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.382,0.148,0.63,0.37,0.63,0.37,False
TRIM10,0.2238680439141107,0.3343157952263956,0.749,0.251,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.473,0.227,0.749,0.251,0.749,0.251,False
TRIM11,-0.3113285867134499,0.3347317640432355,0.17,0.17,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.534,0.297,0.17,0.83,0.17,0.17,False
TRMT13,-0.1337174340334939,0.3435322908565283,0.349,0.349,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.405,0.177,0.349,0.651,0.349,0.349,False
TRMT61A,0.0994778326585932,0.3423684897106085,0.618,0.382,0.4744627792136719,1.544614672616102,0.3807384643740561,16,4,4,500,0.398,0.166,0.618,0.382,0.618,0.382,False
