gene,nb_improved_effect,nb_improved_psp,nb_improved_lfsr,bb_effect,bb_psp,bb_lfsr,pl_effect,pl_psp,pl_lfsr,nb_joint_effect,nb_joint_psp,nb_joint_lfsr
PIK3R1,0.165,0.644,0.356,0.386,0.926,0.0739999999999999,0.41,1.0,0.0,-0.0320390935391001,0.472,0.472
POGZ,0.145,0.657,0.3429999999999999,0.354,0.924,0.0759999999999999,0.349,1.0,0.0,-0.1685995269425895,0.34,0.34
POLR2C,0.161,0.658,0.3419999999999999,0.389,0.941,0.059,0.456,1.0,0.0,-0.103803940973012,0.43,0.43
POLR2F,0.206,0.684,0.3159999999999999,0.5,0.976,0.024,0.696,1.0,0.0,-0.1356294710657295,0.374,0.374
POLR2I,0.134,0.63,0.37,0.628,0.995,0.005,0.265,1.0,0.0,-0.1087096603142498,0.391,0.391
PPP3CA,0.116,0.614,0.386,0.505,0.986,0.014,0.356,1.0,0.0,-0.1195430241937256,0.389,0.389
PPP4C,0.208,0.688,0.312,0.526,0.986,0.014,0.496,1.0,0.0,-0.046866471581789,0.469,0.469
PPRC1,0.253,0.727,0.273,0.602,0.987,0.013,0.689,1.0,0.0,-0.0110996334095769,0.493,0.493
PREB,0.41,0.798,0.2019999999999999,0.95,1.0,0.0,0.913,1.0,0.0,0.2780295704206623,0.733,0.267
PRKAR1A,-0.205,0.276,0.276,-0.531,0.019,0.019,-0.605,0.0,0.0,-0.8678692487621977,0.003,0.003
PSENEN,0.192,0.695,0.305,0.555,0.976,0.024,0.548,1.0,0.0,-0.0644518974707811,0.422,0.422
RBPJ,-0.449,0.141,0.141,-1.035,0.0,0.0,-1.154,0.0,0.0,-1.3720902884449602,0.001,0.001
RFT1,0.179,0.666,0.3339999999999999,0.38,0.953,0.047,0.467,1.0,0.0,-0.1451674717794191,0.372,0.372
RFWD2,0.282,0.75,0.25,0.664,0.995,0.005,0.726,1.0,0.0,0.0929556356372553,0.59,0.41
RNF113A,0.37,0.802,0.1979999999999999,0.815,0.999,0.001,0.824,1.0,0.0,0.1718089456623722,0.644,0.356
RNF40,0.321,0.732,0.268,0.712,0.993,0.007,0.832,1.0,0.0,0.1082572439095194,0.596,0.404
RNF7,0.217,0.714,0.286,0.544,0.974,0.026,0.584,1.0,0.0,0.0188353743895082,0.497,0.497
RPAP2,0.2,0.687,0.3129999999999999,0.582,0.99,0.01,0.614,1.0,0.0,-0.0326358539313452,0.466,0.466
RPN1,0.734,0.968,0.032,1.464,1.0,0.0,1.722,1.0,0.0,0.9923626859536686,0.987,0.013
RPN2,0.41,0.846,0.154,1.009,1.0,0.0,1.007,1.0,0.0,0.2922878390429392,0.754,0.246
RPRD1B,0.245,0.741,0.259,0.718,1.0,0.0,0.702,1.0,0.0,0.0783044102208038,0.551,0.4489999999999999
RPRD2,0.188,0.683,0.3169999999999999,0.378,0.941,0.059,0.525,1.0,0.0,-0.131469075211451,0.376,0.376
SAP18,0.221,0.684,0.3159999999999999,0.613,0.989,0.011,0.363,1.0,0.0,0.019397644486428,0.51,0.49
SEC16A,0.237,0.724,0.276,0.735,0.996,0.004,0.624,1.0,0.0,0.0758201347453583,0.56,0.4399999999999999
SERF2,0.245,0.696,0.304,0.565,0.995,0.005,0.545,1.0,0.0,0.0672233780732858,0.555,0.4449999999999999
SHOC2,-0.211,0.32,0.32,-0.523,0.023,0.023,-0.485,0.0,0.0,-0.6478423341533023,0.08,0.08
SIAH2,0.167,0.659,0.3409999999999999,0.489,0.979,0.021,0.464,1.0,0.0,-0.1077269671959648,0.398,0.398
SIN3A,0.218,0.668,0.3319999999999999,0.514,0.978,0.022,0.657,1.0,0.0,-0.0640131283897387,0.453,0.453
SLC39A10,0.159,0.631,0.369,0.561,0.979,0.021,0.596,1.0,0.0,-0.0211051756530198,0.505,0.495
SLC39A7,0.197,0.744,0.256,0.645,0.998,0.002,0.645,1.0,0.0,0.0204297836878346,0.539,0.4609999999999999
SMAD3,0.723,0.95,0.05,1.833,1.0,0.0,1.661,1.0,0.0,1.0867614538781822,0.993,0.007
SMAD4,0.693,0.94,0.06,1.572,1.0,0.0,1.477,1.0,0.0,0.8814179520931876,0.97,0.03
SMARCB1,0.835,0.987,0.013,2.068,1.0,0.0,2.058,1.0,0.0,1.46151334975063,0.999,0.001
SMARCC1,0.217,0.691,0.309,0.863,0.998,0.002,0.573,1.0,0.0,0.0882050804502193,0.566,0.434
SMARCD2,0.225,0.682,0.3179999999999999,0.569,0.987,0.013,0.54,1.0,0.0,0.0617796453378212,0.542,0.4579999999999999
SMARCE1,0.528,0.913,0.0869999999999999,0.958,0.999,0.001,1.433,1.0,0.0,0.8668067188526527,0.982,0.018
SPOP,-0.204,0.327,0.327,-0.495,0.019,0.019,-0.544,0.0,0.0,-0.7509854082483667,0.056,0.056
