gene,beta_mean_nuts,beta_sd_nuts,p_beta_gt_0_norm,p_beta_lt_0_norm,psp_norm,lfsr_norm,p_abs_beta_ge_0_3_norm,p_abs_beta_ge_0_5_norm,n_obs,n_sgrna,n_sample,chains,draws,tune,hit,psp_delta,lfsr_delta,p_abs_0_3_delta,p_abs_0_5_delta
MAP4K3,-0.1145010312805896,0.1123804725342129,0.1541324722838342,0.8458675277161658,0.8458675277161658,0.1541324722838342,0.049519567272008375,0.00030147756776197266,16,4,4,3,1000,1500,False,0.6902008610494992,-0.0015341943828323934,-0.002480432727991623,-3.185576557132732e-05
MAP4K4,0.1733989487292086,0.1110131690273507,0.9408521631514668,0.05914783684853315,0.9408521631514668,0.05914783684853315,0.12706680735325754,0.001630485683124335,16,4,4,3,1000,1500,False,0.00018549648480004066,-0.00018549648480015168,0.00040014068659094404,0.000963819016457735
MAP6,-0.0746246539698155,0.1110860921003927,0.25086406233379643,0.7491359376662036,0.7491359376662036,0.25086406233379643,0.02161015820209193,6.438502571897247e-05,16,4,4,3,1000,1500,False,0.49080260433287026,-0.00746927099953687,0.0042768248687586295,6.438502571897247e-05
MAP7D1,-0.2658484372040432,0.1073760567798649,0.006645723081025623,0.9933542769189744,0.9933542769189744,0.006645723081025623,0.37522142596488717,0.014603979808518701,16,4,4,3,1000,1500,False,0.9860209435856411,-0.0006876102523076773,0.005221425964887172,-0.0030626868581479
MAPK1,-0.347033586169217,0.1111503899499741,0.0008975291666499796,0.99910247083335,0.99910247083335,0.0008975291666499796,0.6639080709791134,0.08437812459619065,16,4,4,3,1000,1500,False,0.9964358041666834,-0.0017691375000166202,0.004908070979113388,-0.003955208737142654
MAPK10,0.1057513682390953,0.1105016355197305,0.8307193484411759,0.1692806515588241,0.8307193484411759,0.1692806515588241,0.03950432706835577,0.00018001102901549134,16,4,4,3,1000,1500,False,-0.004947318225490771,0.004947318225490799,-0.0008290062649775262,0.00018001102901549134
MAPK14,0.0821582008559771,0.1116345930451013,0.7691214048473813,0.2308785951526186,0.7691214048473813,0.2308785951526186,0.025815110533046626,9.10311166785722e-05,16,4,4,3,1000,1500,False,-0.007878595152618684,0.007878595152618711,-0.0011848894669533733,9.10311166785722e-05
MAPK15,0.0543569595070868,0.1105290493644649,0.6885657075596823,0.3114342924403177,0.6885657075596823,0.3114342924403177,0.01380009292914935,2.7927332787800753e-05,16,4,4,3,1000,1500,False,-0.002100959106984379,0.002100959106984379,-0.0015332404041839501,2.7927332787800753e-05
MAPK1IP1L,-0.1324038373092949,0.1108489193378852,0.116150384625608,0.883849615374392,0.883849615374392,0.116150384625608,0.06532335681986641,0.00045627338972125856,16,4,4,3,1000,1500,False,0.7695162820410587,0.0018170512922747045,-0.0003433098468001855,-0.0012103932769453414
MAPK3,0.169101312102461,0.1230617059763147,0.915297482498772,0.08470251750122804,0.915297482498772,0.08470251750122804,0.14380503027139915,0.003584590308724885,16,4,4,3,1000,1500,False,-0.000369184167894665,0.0003691841678947344,0.0018050302713991662,0.0009179236420582852
