gene,chains,tune,beta_mean_nuts,psp_nuts,lfsr_nuts,n_obs,beta_sd_nuts,n_sgrna,draws,n_sample,p_abs_beta_ge_0_3,p_abs_beta_ge_0_5,p_beta_gt_0,p_beta_lt_0,psp_draws,lfsr_draws,hit
ANKMY2,2,1000,0.3413890614706676,1.0,0.0,16,0.1069573445905047,4,1000,4,0.6976744186046512,0.046511627906976744,1.0,0.0,1.0,0.0,False
ANKRD17,2,1000,-1.199724520635542,0.0,0.0,16,0.1794829569122878,4,1000,4,1.0,0.9995,0.0,1.0,0.0,0.0,True
ANKRD31,2,1000,0.2635474513537586,1.0,0.0,16,0.1010268420768487,4,1000,4,0.37209302325581395,0.0,1.0,0.0,1.0,0.0,False
ANKRD55,2,1000,-0.1107508058771896,0.126,0.126,16,0.0948602108371345,4,1000,4,0.024,0.0,0.126,0.874,0.126,0.126,False
ANKRD65,2,1000,-0.135554231651055,0.119,0.119,16,0.1155782053363049,4,1000,4,0.0815,0.0005,0.119,0.881,0.119,0.119,False
ANKRD7,2,1000,0.1616683620957743,0.9385,0.0615,16,0.1062040906846923,4,1000,4,0.106,0.001,0.9385,0.0615,0.9385,0.0615,False
ANKRD9,2,1000,0.12297005059923,0.915,0.0849999999999999,16,0.0903002779058365,4,1000,4,0.0265,0.0,0.915,0.085,0.915,0.08499999999999996,False
ANO10,2,1000,0.2256288874044756,1.0,0.0,16,0.0677144714527053,4,1000,4,0.11627906976744186,0.0,1.0,0.0,1.0,0.0,False
ANP32A,2,1000,0.219651337484368,0.9795,0.0204999999999999,16,0.1035855198041765,4,1000,4,0.214,0.0045,0.9795,0.0205,0.9795,0.020499999999999963,False
ANP32B,2,1000,0.1889458414667856,0.9615,0.0384999999999999,16,0.1093719471321473,4,1000,4,0.1605,0.002,0.9615,0.0385,0.9615,0.03849999999999998,False
ANP32E,2,1000,0.1232782471198679,0.796,0.2039999999999999,16,0.1487561147463437,4,1000,4,0.1155,0.008,0.796,0.204,0.796,0.20399999999999996,False
ANXA5,2,1000,-0.1009749331443348,0.1765,0.1765,16,0.1064595070679398,4,1000,4,0.0265,0.0,0.1765,0.8235,0.1765,0.1765,False
ANXA6,2,1000,-0.2256576564451208,0.0195,0.0195,16,0.1122591482676043,4,1000,4,0.26,0.004,0.0195,0.9805,0.0195,0.0195,False
AOC2,2,1000,-0.1934262860158347,0.0465116279069767,0.0465116279069767,16,0.106007356298572,4,1000,4,0.18604651162790697,0.0,0.046511627906976744,0.9534883720930233,0.046511627906976744,0.046511627906976744,False
AP1B1,2,1000,0.1541885912999718,0.9365,0.0635,16,0.1031824510072011,4,1000,4,0.0775,0.0,0.9365,0.0635,0.9365,0.0635,False
AP2B1,2,1000,-0.490282229254222,0.001,0.001,16,0.1498810986870513,4,1000,4,0.899,0.4765,0.001,0.999,0.001,0.001,True
AP2M1,2,1000,0.1640439324881296,0.9545,0.0454999999999999,16,0.0970423619274519,4,1000,4,0.079,0.0,0.9545,0.0455,0.9545,0.045499999999999985,False
AP4S1,2,1000,0.1967680948104664,0.9515,0.0484999999999999,16,0.1200260782400291,4,1000,4,0.1965,0.007,0.9515,0.0485,0.9515,0.04849999999999999,False
APBA2,2,1000,-0.0936349746886761,0.1675,0.1675,16,0.1011067576912008,4,1000,4,0.022,0.0,0.1675,0.8325,0.1675,0.1675,False
APBB2,2,1000,-0.5068817427601499,0.0,0.0,16,0.1482144851733748,4,1000,4,0.924,0.512,0.0,1.0,0.0,0.0,True
APH1A,2,1000,0.1552906230741659,0.8115,0.1885,16,0.1791173025592827,4,1000,4,0.51,0.102,0.983,0.017,0.983,0.017000000000000015,False
APH1B,2,1000,-0.1037081090155417,0.1445,0.1445,16,0.100023366791467,4,1000,4,0.0295,0.0,0.1445,0.8555,0.1445,0.1445,False
API5,2,1000,-0.2119370906784945,0.043,0.043,16,0.1218572343738847,4,1000,4,0.2415,0.007,0.043,0.957,0.043,0.043,False
APITD1,2,1000,-0.2419948819661555,0.0465116279069767,0.0465116279069767,16,0.1271011254968505,4,1000,4,0.27906976744186046,0.0,0.046511627906976744,0.9534883720930233,0.046511627906976744,0.046511627906976744,False
